Model,ROC_AUC,Precision,Recall,F1_Score,Net_Benefit,False_Positives
Logistic Regression,0.9981166716213611,0.3333333333333333,0.9565217391304348,0.4943820224719101,2360235.8951965068,88
XGBoost,0.9990803869235267,0.5789473684210527,0.9565217391304348,0.7213114754098361,2362195.8951965068,32
